trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm,Differance
modelK-pin_1_rotateRight_down,0.003,-0.093,0,0,-0.093,15,0.2647993877991494
modelK-pin_2_rotateRight_down,0.038,-0.152,1.169,0,-0.152,15,0.27939648884333573
modelK-pin_1_rotateRight_down-left,-0.879,-0.228,11.483,0.797,0.458,15,1.872342091832306
modelK-pin_2_rotateRight_down-left,-1.274,-0.087,32.521,1.1,0.632,15,2.7862904202262033
modelK-pin_1_rotateRight_left,-0.658,0.077,5.906,-0.658,0,15,0.23572024217636434
modelK-pin_2_rotateRight_left,-0.845,-0.111,15.091,-0.845,0,15,0.11258824961931489
modelK-pin_1_rotateRight_up-left,-0.34,0.067,1.169,0.393,0.226,15,0.991443154058241
modelK-pin_2_rotateRight_up-left,-0.425,0.119,1.169,0.378,0.217,15,1.050354460557565
trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm,Differance
barrett_noRotate_up,-0.016,0.346,3.5295,0.0,0.346,0,0.07760139594913987
barrett_noRotate_up-right,0.127,0.17,2.3365,0.199,0.142,0,0.11803244963615939
barrett_noRotate_right,0.515,-0.012,2.362,0.515,0.0,0,0.05322467693210606
barrett_noRotate_down-right,0.634,-0.481,0.5845,0.666,0.477,0,0.9687357472471625
barrett_noRotate_down,-0.004,-0.307,2.2905,0.0,-0.307,0,0.043976766516930124
barrett_noRotate_down-left,-0.685,-0.53,2.311,0.722,0.516,0,1.7935501761012307
barrett_noRotate_left,-0.502,-0.221,12.707999999999998,-0.502,0.0,0,0.4427964413434394
barrett_noRotate_up-left,-0.189,0.146,4.106,0.202,0.145,0,0.46266449785717456
barrett_noRotate_rotate-clockwise,0.036,-0.084,24.0575,0.0,0.0,24.058,0.0913980039166269
barrett_noRotate_rotate-counterClockwise,-0.1,-0.043,18.7835,0.0,0.0,18.784,0.10886183868261833
